id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
代数1-1	代数（第一册）	第1章	2	55	漏字	低	“分数线上面的数”误作“分线上面的数”	已修	raw第2页第5行印刷字“分数线上面的数”	8d08c6e
代数1-2	代数（第一册）	第1章	3	100	字体	低	“零不能作为除数”原书为黑体重点提示	已修	raw第3页黑体字“零不能作为除数”	8d08c6e
代数1-3	代数（第一册）	第1章	4	131	公式符号	高	括线教学示例漏排上横线\overline{5-4}，致释义落空	已修	raw第4页“小括号里边\overline{5-4}上面的一条线就是括线”	8d08c6e
代数1-4	代数（第一册）	第1章	4	140	标点	低	关系符号示例中5>2末尾标点误为逗号	已修	raw第4页句末句号	8d08c6e
代数1-5	代数（第一册）	第1章	5	166	标点	低	近似小数示例末尾误为英文句点	已修	raw第5页句末句号	8d08c6e
代数1-6	代数（第一册）	第1章	6-7	210-221	环境混淆	高	例5跨页OCR导致前半部解题错位至题干且重复出现【解】	已修	raw第6-7页例5完整版面结构	8d08c6e
代数1-7	代数（第一册）	第1章	7	244	公式漏项	高	例7【解1】第一行式子末项漏掉整数1误为+\frac{1}{8}	已修	raw第7页末项为+1\frac{1}{8}	8d08c6e
代数1-8	代数（第一册）	第1章	8	258-261	缺失解题	中	例8审题后缺失【解】标签与原题表达式，直接接等号	已修	raw第8页“［解］ (3\frac{1}{3}+0.33)\times\frac{1}{2}-1.35 = ...”	8d08c6e
代数1-9	代数（第一册）	第1章	9	297	题目错误	高	习题1·1第12题带分数分母误识别为13导致答案无法吻合	已修	raw第9页分母为12，核算与书后答案一致（答案为1）	8d08c6e
代数1-10	代数（第一册）	第1章	9	303	公式体例	低	习题1·1第15题含全角括号与文本乘号	已修	raw第9页数学算式	8d08c6e
代数1-11	代数（第一册）	第1章	9	309	题目错误	高	习题1·1第18题减数分母为整数5，误识别为繁分数\frac{5}{5}	已修	raw第9页分母为5，核算与书后答案一致（7\frac{1}{5}）	8d08c6e
代数1-12	代数（第一册）	第1章	9	311	题目错误	高	习题1·1第19题被除数分母为整数5，误识别为繁分数\frac{5}{5}	已修	raw第9页分母为5，核算与书后答案一致（\frac{1}{25}）	8d08c6e
代数1-13	代数（第一册）	第1章	9	313	题目错误	高	习题1·1第20题除数分母为5\frac{1}{8}，漏排整数5写成\frac{5}{8}	已修	raw第9页除数分母为5\frac{1}{8}，核算与书后答案一致（答案为1）	8d08c6e
代数1-14	代数（第一册）	第1章	9	320-322	排版标点	低	习题1·1第21题小题标点与分行体例整理	已修	raw第9页排版格式	8d08c6e
代数1-15	代数（第一册）	第1章	10	353	标点	低	算式结果后漏排句末句号“。”	已修	raw第10页“就可以知道半夜的温度是 1°。”	10ad9aa
代数1-16	代数（第一册）	第1章	10	371	字体	低	“负数”、“正数”定义概念恢复原书黑体重点	已修	raw第10页黑体字“负数”、“正数”	10ad9aa
代数1-17	代数（第一册）	第1章	11	437	字词误读	高	“之后一问”被OCR误读为“以后”	已修	raw第11页印刷文字“走了20公里之后一问”	10ad9aa
代数1-18	代数（第一册）	第1章	11	445	字体	低	“具有两种相反方向或两种相反意义的量”恢复原书黑体	已修	raw第11页黑体重点词汇	10ad9aa
代数1-19	代数（第一册）	第1章	12	449-472	环境碎片化	中	习题1·2碎片化拆裂为4个独立enumerate，整合并修正标点	已修	raw第12页习题1·2完整体例	10ad9aa
代数1-20	代数（第一册）	第1章	12	478-486	字体	低	有理数各分类定义词（正整数、负整数、正分数等）恢复原书黑体	已修	raw第12页黑体定义概念词	10ad9aa
代数1-21	代数（第一册）	第1章	13	508,542	虚构图题	中	原书两处大括号分类表无图题，清理人为虚构的caption	已修	raw第13页分类图表排版样式	10ad9aa
代数1-22	代数（第一册）	第1章	13	513-518	环境割裂	低	“注”下1、2两项编号体例规范化统一	已修	raw第13页注下第1、2条排版体例	10ad9aa
代数1-23	代数（第一册）	第1章	13	520	标点	低	“都是整数，”误断为句号	已修	raw第13页印刷逗号	10ad9aa
代数1-24	代数（第一册）	第1章	14-15	652,660	字体	低	“原点”、“单位长度”、“数轴”、“对应点”概念词恢复原书黑体重点	已修	raw第14-15页黑体概念词	b9733fc
代数1-25	代数（第一册）	第1章	15	656	强调格式	低	“数轴是一条用来表示数的直线…”定义整句恢复着重强调黑体	已修	raw第15页原书整句下附着重号	b9733fc
代数1-26	代数（第一册）	第1章	15	658	标点	低	“数 0.”末尾 ASCII 句点修正为中文句号“。”	已修	raw第15页印刷句号	b9733fc
代数1-27	代数（第一册）	第1章	15-16	662-678	环境碎片化	中	习题1·4碎片化拆裂，整合并修复第5题公式排版体例	已修	raw第15-16页习题1·4排版体例	b9733fc
代数1-28	代数（第一册）	第1章	16	693	字体	低	“相反的数”定义概念词恢复原书黑体重点	已修	raw第16页黑体概念词	b9733fc
代数1-29	代数（第一册）	第1章	16	719-725	强调格式	低	“任何一个正数的相反的数…”三条推论恢复着重强调黑体，修正句号标点	已修	raw第16页三条推论下附着重号	b9733fc
代数1-30	代数（第一册）	第1章	17	737-744	公式排版	低	0的相反数运算性质式由紧缩挤压行内式改为清晰居中展式	已修	raw第17页展式排版	b9733fc
代数1-31	代数（第一册）	第1章	17	746	漏字与标题	中	补齐法则标题“一个数的相反的数的表示法则”（原漏“的”及黑体），加粗法则内容	已修	raw第17页“相反的数的表示法则”黑体标题及着重号	b9733fc
代数1-32	代数（第一册）	第1章	17	748	标签遗漏	中	恢复例题前丢失的“【例】”标签及规范化小题间距	已修	raw第17页左挂“例”标签	b9733fc
代数1-33	代数（第一册）	第1章	17	757-768	框图失真	高	“性质符号简化法则”由单侧大括号重构为原书双分组大括号嵌底标题带框规则框	已修	raw第17页性质符号简化法则外框图	b9733fc
代数1-34	代数（第一册）	第1章	18	770-820	环境碎片化	中	习题1·5碎片化整合，规整第3题设问并分双栏排版第5题化简算式	已修	raw第18页习题1·5排版格式	b9733fc
代数1-35	代数（第一册）	第1章	19	846	字体	低	“这个数的绝对值”定义概念词恢复原书黑体重点	已修	raw第19页黑体概念词	b9733fc
代数1-36	代数（第一册）	第1章	19	850	强调格式与标点	低	“正数的绝对值就是这个正数本身…”定义整句恢复着重强调黑体，修正句末0.	已修	raw第19页原书整句下附着重号	b9733fc
代数1-37	代数（第一册）	第1章	19	854-862	公式排版	低	绝对值记号及读法说明整理为规范居中展式，理顺逻辑连接词	已修	raw第19页排版格式	b9733fc
代数1-38	代数（第一册）	第1章	20	866	漏字与强调	低	恢复“两个相反的数的绝对值是相等的”漏字“的”及着重强调黑体	已修	raw第20页“两个相反的数”及着重号	b9733fc
代数1-39	代数（第一册）	第1章	20	891	数学漏符	高	习题1·6第3(2)题漏绝对值竖线导致算式错误（|-16+|-24|），予以补正	已修	raw第20页印刷算式“|-16|+|-24|-|-30|”	b9733fc
代数1-40	代数（第一册）	第1章	20	897	符号误读	中	习题1·6第3题解法举例运算符号误识（-30误作+30），予以纠正	已修	raw第20页“|+30|”	b9733fc
代数1-41	代数（第一册）	第1章	20	870-915	环境碎片化	中	习题1·6碎片化整合为一个完整enumerate，整理双栏算式与解法举例	已修	raw第20页习题1·6完整体例	b9733fc
代数1-42	代数（第一册）	第1章	21	971-976	公式排版	低	温度比较转有理数大小算式规整为整齐居中两列展式	已修	raw第21页算式排版	b9733fc
