id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
代数（第一册）-1	代数（第一册）	第1章	18	580	图号跳号	中	图1·2（1–20 区间缺口）：量身高木尺与垫板示意图，已补绘TikZ插图	已修	raw第18页（印张14页）量身高直立木尺与木底座示意图	-
代数（第三册）-2	代数（第三册）	第3章	125	7191	图号重复	中	图3·8 原上游 markdown 将图3·6错录为图3·8造成假重号，已核校订正为图3·6	已修	raw第125页（印张121页）例2图原书印刷为“图 3-6”	c3d30bc
代数（第三册）-3	代数（第三册）	第4章	181	10714	图号重复	中	图4·18 原上游 markdown 将图4·16错录为图4·18造成假重号，已核校订正为图4·16	已修	raw第181页（印张177页）抛物线平移图原书印刷为“图 4·16”	c3d30bc
代数（第三册）-4	代数（第三册）	第2章	44	2498	图号跳号	中	图2·11（1–25 区间缺口）：原 TeX 误将图2·10与2·11堆叠于单图环境，已拆分为独立图2·10与图2·11	已修	raw第44页（印张40页）开区间为图2·10，闭区间为图2·11分别配于第(1)(2)节	c3d30bc
代数（第三册）-5	代数（第三册）	第3章	125	7191	图号跳号	中	图3·6（1–20 区间缺口）：因原图3·6被误录为图3·8导致假跳号，已订正图号恢复连续性	已修	raw第125页（印张121页）实际印刷即为图3·6	c3d30bc
代数（第三册）-6	代数（第三册）	第4章	175	10335	图号跳号	中	图4·13（1–26 区间缺口）：原 TeX 误将图4·12与图4·13堆叠于单图环境，已拆分为并排双图双 caption	已修	raw第175页（印张171页）底部并排左右两图，左为图4·12，右为图4·13	c3d30bc
代数（第三册）-7	代数（第三册）	第4章	181	10714	图号跳号	中	图4·16（1–26 区间缺口）：因原图4·16被误录为图4·18导致假跳号，已订正图号恢复连续性	已修	raw第181页（印张177页）实际印刷即为图4·16	c3d30bc
代数（第四册）-8	代数（第四册）	第4章	122	6986	图号重复	中	图4·6 出现多次：因原图4·5被误录为图4·6导致重号，已订正为图4·5消除重复	已修	raw第122页（印张119页）例2配图原书明确印刷为“图 4·5”	9946406
代数（第四册）-9	代数（第四册）	第3章	80	4393	图号跳号	中	图3·2（1–4 区间缺口）：原 TeX 拆为8个figure子图独立caption致母号丢失，已重构为单figure统一caption	已修	raw第80页（印张77页）为2×4网格的单幅大图“图 3·2”	9946406
代数（第四册）-10	代数（第四册）	第3章	82	4522	图号跳号	中	图3·3（1–4 区间缺口）：原 TeX 拆为两个figure子图独立caption致母号丢失，已重构为单figure统一caption	已修	raw第82页（印张79页）为左右并排的单幅大图“图 3·3”	9946406
代数（第四册）-11	代数（第四册）	第4章	122	6986	图号跳号	中	图4·5（1–20 区间缺口）：因原图4·5被误录为图4·6导致假跳号，已纠正图号恢复连续性	已修	raw第122页（印张119页）实际印刷即为图4·5	9946406
平面三角-12	平面三角	第2章	38	2281	图号重复	中	图2·8（重复）：原书第38页（印33页）例2配图印刷为“图2·3”，原TeX误录为“图2·8”造成重号，已纠正为图2·3	已修	raw第38页（印33页）例2图底标印刷为“图2·3”，原录入误为图2·8与后续图2·8重名，已纠正为图2·3	69a1234
平面三角-13	平面三角	第3章	87	6220	图号重复	中	图3·31（重复）：原书第87页（印82页）为四象限单图，原TeX拆为4个figure独立caption，已重构为单figure统一caption	已修	raw第87页（印82页）为四象限整合图“图3·31”，原TeX拆为4个figure独立caption，已重构为单figure四象限整合排版	69a1234
平面三角-14	平面三角	第7章	226	15294	图号重复	中	图7·18（重复）：原书第226页（印221页）例1图印刷为“图7·19”，原TeX误录为“图7·18”造成重号，已纠正为图7·19	已修	raw第226页（印221页）例1图底标印刷为“图7·19”，原录入误为图7·18与前图重名，已纠正为图7·19	69a1234
平面三角-15	平面三角	第7章	199	13664	图号重复	中	图7·4（重复）：原书第199页（印194页）四象限图7·4已完整绘制，原TeX末尾多余切图图7·4（a）造成重号，已删除冗余figure	已修	raw第199页（印194页）四象限图7·4已完整绘制，原TeX末尾多余切图图7·4（a）已彻底删除	69a1234
平面三角-16	平面三角	第9章	274	18539	图号重复	中	图9·1（重复）：原书第274页（印269页）为(I)(II)左右并排单图，原TeX拆为两个figure独立caption，已重构为单figure统一caption	已修	raw第274页（印269页）为左右并排单图“图9·1”，原TeX拆为两个figure，已合并为单figure	69a1234
平面三角-17	平面三角	第9章	274	18598	图号重复	中	图9·2（重复）：原书第274页（印269页）为(I)(II)(III)横排单图，原TeX拆为三个figure独立caption，已重构为单figure统一caption	已修	raw第274页（印269页）为三图并排之“图9·2”，原TeX拆为三个figure，已合并为单figure	69a1234
平面三角-18	平面三角	第9章	277	18848	图号重复	中	图9·5（重复）：原书第277页（印272页）为(I)(II)左右并排单图，原TeX拆为两个figure独立caption，已重构为单figure统一caption	已修	raw第277页（印272页）为左右并排单图“图9·5”，原TeX拆为两个figure独立caption，已合并为单figure	69a1234
平面三角-19	平面三角	第9章	278	18937	图号重复	中	图9·6（重复）：原书第278页（印273页）为(I)(II)左右并排单图，原TeX拆为两个figure独立caption，已重构为单figure统一caption	已修	raw第278页（印273页）为左右并排单图“图9·6”，原TeX拆为两个figure独立caption，已合并为单figure	69a1234
平面三角-20	平面三角	第2章	38	2281	图号跳号	中	图2·3（1–14 区间缺口）：因原图2·3被误录为图2·8导致假跳号，已纠正图号恢复连续性	已修	raw第38页（印33页）例2配图印刷为“图2·3”，已纠正恢复图2·3消除缺口	69a1234
